age,workclass,fnlwgt,education,educational-num,marital-status,occupation,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
64,Self-emp,213574,HS-grad,4,Married,Craft-repair,White,Male,> 0,0,10,United-States,<=50K
37,Government,249392,Assoc-voc,6,Married,Other-service,White,Male,0,0,40,United-States,>50K
50,Self-emp,192654,9th-12th,3,Unmarried,Craft-repair,White,Male,0,0,25,United-States,<=50K
34,Self-emp,195891,Bachelors,8,Married,Sales,White,Male,0,0,50,United-States,>50K
40,Government,218995,Some-college,5,Married,Exec-managerial,White,Male,0,0,42,United-States,>50K
42,Private,341178,1st-8th,2,Married,Other-service,White,Male,0,0,44,Other,<=50K
43,Private,397963,HS-grad,4,Divorced,Handlers-cleaners,White,Male,> 0,0,16,United-States,<=50K
26,Private,379246,Some-college,5,Unmarried,Other-service,White,Female,0,0,40,United-States,<=50K
38,Private,179668,HS-grad,4,Married,Other-service,White,Male,0,0,40,Other,<=50K
55,Private,116442,HS-grad,4,Unmarried,Sales,White,Male,0,0,38,United-States,<=50K
18,Private,217439,HS-grad,4,Unmarried,Other-service,White,Female,0,0,28,United-States,<=50K
36,Private,163290,Some-college,5,Divorced,Sales,White,Female,0,0,40,United-States,<=50K
24,Private,39615,Bachelors,8,Unmarried,Sales,White,Male,0,0,45,United-States,<=50K
60,Private,198170,Bachelors,8,Married,Exec-managerial,White,Male,0,0,45,United-States,>50K
44,Self-emp,96921,Some-college,5,Unmarried,Adm-clerical,White,Female,0,0,45,United-States,<=50K
30,Private,75167,Some-college,5,Married,Machine-op-inspct,White,Male,0,0,40,United-States,>50K
34,Private,261799,Assoc-voc,6,Married,Adm-clerical,Black,Male,0,0,45,United-States,>50K
26,Private,241852,9th-12th,3,Unmarried,Craft-repair,White,Male,0,0,40,United-States,<=50K
42,Private,339814,Bachelors,8,Married,Prof-specialty,White,Male,0,0,40,United-States,>50K
31,Private,266126,HS-grad,4,Unmarried,Other-service,White,Female,0,0,30,United-States,<=50K
44,Private,244522,HS-grad,4,Divorced,Craft-repair,White,Male,0,0,45,United-States,<=50K
53,Private,226135,9th-12th,3,Unmarried,Craft-repair,Black,Male,0,0,40,Other,<=50K
19,Self-emp,194205,Some-college,5,Unmarried,Other-service,White,Female,0,0,40,Other,<=50K
43,Private,184378,Bachelors,8,Unmarried,Prof-specialty,White,Male,0,0,40,United-States,<=50K
28,Private,34335,HS-grad,4,Divorced,Sales,Other,Male,> 0,0,40,United-States,>50K
29,Private,327766,Some-college,5,Divorced,Exec-managerial,White,Male,0,0,55,United-States,>50K
49,Self-emp,201498,HS-grad,4,Married,Craft-repair,White,Male,0,0,40,United-States,<=50K
40,Private,59916,HS-grad,4,Married,Craft-repair,White,Male,0,0,40,United-States,<=50K
42,Private,195508,9th-12th,3,Married,Transport-moving,Black,Male,0,0,40,United-States,<=50K
46,Private,134727,9th-12th,3,Divorced,Machine-op-inspct,Other,Male,0,0,43,Other,<=50K
46,Private,140782,Assoc-acdm,7,Divorced,Prof-specialty,White,Female,0,0,50,United-States,<=50K
56,Private,179127,9th-12th,3,Married,Craft-repair,White,Male,0,0,35,Other,<=50K
43,Private,128354,HS-grad,4,Married,Adm-clerical,White,Female,0,0,30,United-States,<=50K
43,Private,76460,HS-grad,4,Unmarried,Adm-clerical,White,Female,0,0,40,United-States,<=50K
27,Private,84433,Some-college,5,Unmarried,Exec-managerial,White,Female,0,0,50,United-States,<=50K
65,Private,95644,Assoc-acdm,7,Divorced,Sales,White,Female,0,0,40,United-States,<=50K
59,Government,100270,Masters,9,Divorced,Prof-specialty,White,Female,0,0,60,United-States,<=50K
35,Private,509462,Bachelors,8,Unmarried,Exec-managerial,White,Female,0,0,45,United-States,<=50K
26,Government,76900,Bachelors,8,Unmarried,Tech-support,White,Male,0,0,40,United-States,<=50K
64,Self-emp,307786,1st-8th,2,Married,Sales,White,Male,0,0,20,United-States,<=50K
18,Self-emp,378036,9th-12th,3,Unmarried,Farming-fishing,White,Male,0,0,10,United-States,<=50K
19,Private,141868,HS-grad,4,Unmarried,Transport-moving,White,Male,0,0,40,United-States,<=50K
33,Private,83671,HS-grad,4,Unmarried,Sales,Black,Female,0,0,40,United-States,<=50K
22,Private,224969,HS-grad,4,Unmarried,Adm-clerical,White,Male,0,0,40,United-States,<=50K
32,Private,245482,HS-grad,4,Married,Machine-op-inspct,Other,Male,0,0,40,United-States,<=50K
27,Private,333296,Bachelors,8,Unmarried,Other-service,White,Male,0,0,30,United-States,<=50K
59,Private,105745,Assoc-voc,6,Married,Machine-op-inspct,White,Male,0,0,45,United-States,>50K
34,Private,157747,HS-grad,4,Married,Transport-moving,White,Male,0,0,45,United-States,<=50K
32,Government,199227,Bachelors,8,Married,Adm-clerical,White,Male,0,0,55,United-States,<=50K
40,Private,110622,Prof-school,10,Married,Adm-clerical,Other,Female,0,0,40,Other,<=50K
37,Self-emp,57424,Bachelors,8,Divorced,Sales,White,Female,0,0,60,United-States,<=50K
54,Private,103345,Assoc-voc,6,Married,Exec-managerial,White,Male,0,0,40,United-States,>50K
39,Private,206074,Bachelors,8,Married,Prof-specialty,White,Male,0,0,45,United-States,>50K
27,Private,150025,1st-8th,2,Unmarried,Handlers-cleaners,White,Male,0,0,40,Other,<=50K
42,Private,345363,HS-grad,4,Divorced,Exec-managerial,White,Female,0,0,40,Other,<=50K
32,Private,272376,Assoc-acdm,7,Unmarried,Adm-clerical,White,Female,0,0,40,United-States,<=50K
45,Private,35136,Bachelors,8,Married,Tech-support,Black,Male,0,0,40,United-States,>50K
49,Private,166857,9th-12th,3,Divorced,Handlers-cleaners,White,Female,0,0,40,United-States,<=50K
37,Private,265038,Some-college,5,Married,Transport-moving,White,Male,0,0,50,United-States,<=50K
32,Private,212064,Bachelors,8,Married,Exec-managerial,White,Female,0,0,40,United-States,>50K
32,Private,73498,1st-8th,2,Divorced,Other-service,White,Female,0,0,40,United-States,<=50K
41,Government,177599,Bachelors,8,Divorced,Prof-specialty,White,Female,0,0,35,United-States,<=50K
20,Private,157541,Some-college,5,Unmarried,Other-service,White,Male,0,0,27,United-States,<=50K
45,Private,108993,HS-grad,4,Unmarried,Craft-repair,White,Male,0,0,40,United-States,<=50K
41,Private,275446,Some-college,5,Separated,Machine-op-inspct,Black,Male,0,0,40,United-States,<=50K
56,Private,124566,1st-8th,2,Divorced,Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
48,Private,155509,Some-college,5,Unmarried,Craft-repair,Black,Female,0,0,40,United-States,<=50K
23,Private,222835,Bachelors,8,Unmarried,Other-service,White,Female,0,0,30,United-States,<=50K
43,Private,76487,9th-12th,3,Married,Craft-repair,White,Male,0,0,40,United-States,<=50K
56,Private,204816,Some-college,5,Married,Exec-managerial,White,Male,0,0,40,United-States,>50K
46,Private,207807,9th-12th,3,Married,Machine-op-inspct,Black,Female,0,0,30,United-States,<=50K
31,Private,274818,Some-college,5,Unmarried,Adm-clerical,White,Female,0,0,40,United-States,<=50K
31,Private,150324,9th-12th,3,Divorced,Farming-fishing,White,Male,0,0,50,United-States,<=50K
